  PID  %CPU COMM
  756   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  758   0.0 /usr/sbin/appleh16camerad
  761   0.0 /usr/sbin/coreaudiod
  763   0.0 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  765   0.0 /usr/sbin/distnoted
  767   0.0 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  769   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  771   0.0 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  772   0.0 /usr/libexec/secinitd
  773   0.0 /usr/libexec/mmaintenanced
  774   0.0 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  775   0.0 /usr/sbin/cfprefsd
  777   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  778   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
  779   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  780   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
  781   0.0 /usr/libexec/trustd
  782   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  783   0.0 /usr/sbin/distnoted
  784   0.0 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  785   0.0 /usr/libexec/containermanagerd
  786   0.0 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
  787   0.0 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
  788   0.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  789   0.0 /usr/libexec/triald_system
  790   0.0 /usr/libexec/modelmanagerd
  792   0.0 /usr/libexec/audioanalyticsd
  795   0.0 /usr/sbin/distnoted
  796   0.0 /usr/libexec/rtcreportingd
  797   0.0 /System/Library/PrivateFrameworks/TrialServer.framework/Versions/A/XPCServices/TrialArchivingService.xpc/Contents/MacOS/TrialArchivingService
  798   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/StandaloneHIDAudService.xpc/Contents/MacOS/StandaloneHIDAudService
  799   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/ThunderboltAccessoryUpdaterService.xpc/Contents/MacOS/ThunderboltAccessoryUpdaterService
  800   0.0 /usr/libexec/audiomxd
  801   0.0 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
  802   0.0 /System/Library/PrivateFrameworks/UARPAssetManager.framework/XPCServices/UARPAssetManagerServiceMobileAsset.xpc/Contents/MacOS/UARPAssetManagerServiceMobileAsset
  803   0.0 /usr/libexec/AirPlayXPCHelper
  804   0.0 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  805   0.0 /usr/sbin/distnoted
  806   0.0 /System/Library/PrivateFrameworks/AppIntentsLiveEntitySupport.framework/XPCServices/AppIntentsLiveEntityService.xpc/Contents/MacOS/AppIntentsLiveEntityService
  807   0.0 /System/Library/PrivateFrameworks/MobileInstallation.framework/XPCServices/com.apple.MobileInstallationHelperService.xpc/Contents/MacOS/com.apple.MobileInstallationHelperService
  808   0.0 /usr/sbin/distnoted
  809   0.0 /System/Library/CoreServices/osanalyticshelper
  810   0.0 /usr/libexec/searchpartyd
  814   0.0 /usr/libexec/colorsync.displayservices
  815   0.0 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  816   0.0 /usr/libexec/colorsyncd
  823   0.0 /usr/libexec/symptomsd-diag
  825   0.0 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  826   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Support/cloudtelemetryd
  828   0.0 /usr/libexec/cryptexd
  832   0.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  833   0.0 /usr/libexec/storagekitd
  835   0.0 /usr/libexec/mobileactivationd
  837   0.0 /usr/libexec/fskitd
  839   0.0 /usr/libexec/tzlinkd
  845  19.1 /usr/libexec/sysmond
  846   0.0 /usr/sbin/systemstats
  847   0.0 /System/Library/Audio/Plug-Ins/usbaudio.bundle/Contents/MacOS/usbaudiod
  848   0.0 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  849   0.0 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  852   0.8 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  853   0.0 /usr/libexec/tracd
  858   0.0 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
  861   0.0 /usr/libexec/findmydeviced
  862   0.0 /usr/sbin/netbiosd
  863   0.0 /usr/libexec/wifip2pd
  865   0.0 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  867   0.0 /usr/libexec/assetsubscriptiond
  872   0.0 /usr/libexec/wifianalyticsd
  876   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  877   0.0 /usr/sbin/distnoted
  881   0.0 /Library/PrivilegedHelperTools/com.docker.vmnetd
  882   0.0 /usr/libexec/secinitd
  883   0.0 /System/Library/CoreServices/appleeventsd
  884   0.0 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  886   0.0 /usr/sbin/cfprefsd
  888   0.0 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  889   0.0 /usr/libexec/trustd
  890   0.0 /usr/libexec/bootinstalld
  901   0.0 /usr/sbin/distnoted
  911   0.0 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  912   0.1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  913   0.0 /usr/libexec/containermanagerd
  915   0.0 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
  932   0.0 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
  957   0.0 /System/Library/PrivateFrameworks/FindMyDevice.framework/XPCServices/FindMyDeviceSharedConfigurationXPCService.xpc/Contents/MacOS/FindMyDeviceSharedConfigurationXPCService
