  PID  PPID COMM
  767     1 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  769     1 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  771     1 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  772     1 /usr/libexec/secinitd
  773     1 /usr/libexec/mmaintenanced
  774     1 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  775     1 /usr/sbin/cfprefsd
  777     1 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  778     1 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
  779     1 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  780     1 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
  781     1 /usr/libexec/trustd
  782     1 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  783     1 /usr/sbin/distnoted
  784     1 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  785     1 /usr/libexec/containermanagerd
  786     1 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
  787     1 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
  788     1 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  789     1 /usr/libexec/triald_system
  790     1 /usr/libexec/modelmanagerd
  792     1 /usr/libexec/audioanalyticsd
  795     1 /usr/sbin/distnoted
  796     1 /usr/libexec/rtcreportingd
  797     1 /System/Library/PrivateFrameworks/TrialServer.framework/Versions/A/XPCServices/TrialArchivingService.xpc/Contents/MacOS/TrialArchivingService
  798     1 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/StandaloneHIDAudService.xpc/Contents/MacOS/StandaloneHIDAudService
  799     1 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/ThunderboltAccessoryUpdaterService.xpc/Contents/MacOS/ThunderboltAccessoryUpdaterService
  800     1 /usr/libexec/audiomxd
  801     1 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
  802     1 /System/Library/PrivateFrameworks/UARPAssetManager.framework/XPCServices/UARPAssetManagerServiceMobileAsset.xpc/Contents/MacOS/UARPAssetManagerServiceMobileAsset
  803     1 /usr/libexec/AirPlayXPCHelper
  804     1 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  805     1 /usr/sbin/distnoted
  806     1 /System/Library/PrivateFrameworks/AppIntentsLiveEntitySupport.framework/XPCServices/AppIntentsLiveEntityService.xpc/Contents/MacOS/AppIntentsLiveEntityService
  807     1 /System/Library/PrivateFrameworks/MobileInstallation.framework/XPCServices/com.apple.MobileInstallationHelperService.xpc/Contents/MacOS/com.apple.MobileInstallationHelperService
  808     1 /usr/sbin/distnoted
  809     1 /System/Library/CoreServices/osanalyticshelper
  810     1 /usr/libexec/searchpartyd
  814     1 /usr/libexec/colorsync.displayservices
  815     1 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  816     1 /usr/libexec/colorsyncd
  823     1 /usr/libexec/symptomsd-diag
  825     1 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  826     1 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Support/cloudtelemetryd
  828     1 /usr/libexec/cryptexd
  832     1 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  833     1 /usr/libexec/storagekitd
  835     1 /usr/libexec/mobileactivationd
  837     1 /usr/libexec/fskitd
  839     1 /usr/libexec/tzlinkd
  845     1 /usr/libexec/sysmond
  846   566 /usr/sbin/systemstats
  847     1 /System/Library/Audio/Plug-Ins/usbaudio.bundle/Contents/MacOS/usbaudiod
  848     1 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  849     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  852     1 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  853     1 /usr/libexec/tracd
  858     1 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
  861     1 /usr/libexec/findmydeviced
  862     1 /usr/sbin/netbiosd
  863     1 /usr/libexec/wifip2pd
  865     1 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  867     1 /usr/libexec/assetsubscriptiond
  872     1 /usr/libexec/wifianalyticsd
  876     1 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  877     1 /usr/sbin/distnoted
